record_no,snapshot_index,source_vector_index,field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
39,2,16,speed,244.63,True,2446,3,244.60000000000002,True,0.03/0.1,True
39,2,16,heading,222.78,True,22278,4,222.78,True,0/0.01,True
39,2,16,vertical_rate,-8.78,True,31890,5,-8.779999999999973,True,2.6645352591e-14/0.01,True
39,2,16,callsign,MACOR,True,MACOR,6,MACOR,True,0/0,True
40,2,17,lat,49.385,True,3247905,0,49.384994360207145,True,5.63979285317e-06/4.29153544701e-05,True
40,2,17,lon,10.8196,True,2223209,1,10.819604592229012,True,4.59222901306e-06/8.58307089402e-05,True
40,2,17,altitude,10363.2,True,11363,2,10363.0,True,0.200000000001/1,True
40,2,17,speed,243.05,True,2431,3,243.10000000000002,True,0.05/0.1,True
40,2,17,heading,288.51,True,28851,4,288.51,True,0/0.01,True
40,2,17,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
40,2,17,callsign,THY6091,True,THY6091,6,THY6091,True,0/0,True
41,2,18,lat,47.8892,True,3213050,0,47.88917968015187,True,2.0319848133e-05/4.29153544701e-05,True
41,2,18,lon,7.6044,True,2185749,1,7.604386235329201,True,1.37646707987e-05/8.58307089402e-05,True
41,2,18,altitude,11277.6,True,12278,2,11278.0,True,0.4/1,True
41,2,18,speed,259.77,True,2598,3,259.8,True,0.03/0.1,True
41,2,18,heading,103.98,True,10398,4,103.98,True,0/0.01,True
41,2,18,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
41,2,18,callsign,ETD2,True,ETD2,6,ETD2,True,0/0,True
42,2,19,lat,46.5431,True,3181684,0,46.54309667184273,True,3.32815726978e-06/4.29153544701e-05,True
42,2,19,lon,5.7885,True,2164592,1,5.788465926281418,True,3.40737185818e-05/8.58307089402e-05,True
42,2,19,altitude,11277.6,True,12278,2,11278.0,True,0.4/1,True
42,2,19,speed,225.32,True,2253,3,225.3,True,0.02/0.1,True
42,2,19,heading,198.23,True,19823,4,198.23000000000002,True,2.84217094304e-14/0.01,True
42,2,19,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
42,2,19,callsign,EWG40C,True,EWG40C,6,EWG40C,True,0/0,True
43,2,20,lat,48.7235,True,3232491,0,48.723497086405075,True,2.91359492621e-06/4.29153544701e-05,True
43,2,20,lon,9.4611,True,2207381,1,9.461076131123548,True,2.38688764522e-05/8.58307089402e-05,True
43,2,20,altitude,11582.4,True,12582,2,11582.0,True,0.4/1,True
43,2,20,speed,222.93,True,2229,3,222.9,True,0.03/0.1,True
43,2,20,heading,302.37,True,30237,4,302.37,True,0/0.01,True
43,2,20,vertical_rate,-0.33,True,32735,5,-0.3299999999999841,True,1.59317004034e-14/0.01,True
43,2,20,callsign,GAV596,True,GAV596,6,GAV596,True,0/0,True
44,2,21,lat,49.2407,True,3244543,0,49.24071293847868,True,1.29384786831e-05/4.29153544701e-05,True
44,2,21,lon,10.6218,True,2220904,1,10.621764808121867,True,3.51918781334e-05/8.58307089402e-05,True
44,2,21,altitude,5242.56,True,6243,2,5243.0,True,0.44/1,True
44,2,21,speed,192.03,True,1920,3,192.0,True,0.03/0.1,True
44,2,21,heading,248.8,True,24880,4,248.8,True,0/0.01,True
44,2,21,vertical_rate,9.43,True,33711,5,9.430000000000007,True,7.1054273576e-15/0.01,True
44,2,21,callsign,EWG53L,True,EWG53L,6,EWG53L,True,0/0,True
45,2,22,lat,45.9448,True,3167743,0,45.94481371517509,True,1.37151750863e-05/4.29153544701e-05,True
45,2,22,lon,11.2937,True,2228733,1,11.293733428414669,True,3.34284146692e-05/8.58307089402e-05,True
45,2,22,altitude,13716.0,True,14716,2,13716.0,True,0/1,True
45,2,22,speed,255.71,True,2557,3,255.70000000000002,True,0.00999999999999/0.1,True
45,2,22,heading,118.21,True,11821,4,118.21000000000001,True,1.42108547152e-14/0.01,True
45,2,22,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
45,2,22,callsign,N950MP,True,N950MP,6,N950MP,True,0/0,True
46,2,23,lat,45.7172,True,3162439,0,45.717190675065666,True,9.32493433226e-06/4.29153544701e-05,True
46,2,23,lon,5.0918,True,2156475,1,5.091778061813841,True,2.19381861593e-05/8.58307089402e-05,True
46,2,23,altitude,,False,0,2,,False,0/0,True
46,2,23,speed,7.2,True,72,3,7.2,True,0/0.1,True
46,2,23,heading,168.75,True,16875,4,168.75,True,0/0.01,True
46,2,23,vertical_rate,,False,0,5,,False,0/0,True
46,2,23,callsign,LA2,True,LA2,6,LA2,True,0/0,True
47,2,24,lat,47.4443,True,3202684,0,47.44431911571482,True,1.91157148208e-05/4.29153544701e-05,True
47,2,24,lon,8.5674,True,2196969,1,8.567406789638227,True,6.78963822764e-06/8.58307089402e-05,True
47,2,24,altitude,,False,0,2,,False,0/0,True
47,2,24,speed,0.06,True,1,3,0.1,True,0.04/0.1,True
47,2,24,heading,244.69,True,24469,4,244.69,True,0/0.01,True
47,2,24,vertical_rate,,False,0,5,,False,0/0,True
